objectid,filename,title,creator,mine,date,description,subject,location,latitude,longitude,source,format_original,format,type,identifier,language,rights,rightsstatement
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_10,cometbus_4_8107_box_4_10.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; Nixon; authority; resistance; war; political iconography,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-10,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_11,cometbus_4_8107_box_4_11.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; resistance; political iconography,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-11,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_12,cometbus_4_8107_box_4_12.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; resistance; flag; propaganda,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-12,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_13,cometbus_4_8107_box_4_13.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; racism; sexism; war; Alligator Gun 3Song; Ugly Kid Joe; Metallica; Matthew Sweet; Downcast,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-13,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_14,cometbus_4_8107_box_4_14.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; physical therapy; ACME labs; clinic,ACME labs Milwaukee Wisconsin,42.9809,-87.9799,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-14,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_15,cometbus_4_8107_box_4_15.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; political iconography; gun violence; war; resistance,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-15,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_16,cometbus_4_8107_box_4_16.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; political iconography; gun violence,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-16,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_17,cometbus_4_8107_box_4_17.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; shock therapy,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-17,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_18,cometbus_4_8107_box_4_18.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; Reagan; protest; resistance; police violence,Telehraph Avenue Berkeley California,37.8683,-122.2591,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-18,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_psychotherapy_1991_1992_4_2_19,cometbus_4_8107_box_4_19.jpg,Psychotherapy 1991 1992,Aaron Cometbus,Cometbus Punk and Underground Press Collection,1991-1992,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder psychotherapy_1991_1992_4_2).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; psychotherapy; anti smoking; public health; culture; capitalism,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-19,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_puddles_of_blood_circa_1984_1986_4_3_21,cometbus_4_8107_box_4_21.jpg,Puddles Of Blood Circa 1984 1986,Puddles of Blood,Cometbus Punk and Underground Press Collection,circa 1984-1986,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder puddles_of_blood_circa_1984_1986_4_3).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; puddles of blood,Cincinnati Ohio,39.1031,-84.512,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-21,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_23,cometbus_4_8107_box_4_23.jpg,Puddles Of Blood Circa 1984 1986,Puddles of Blood,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; puddles of blood; Jack Gargan; attitude; fitz of depression; ,Olympia Washington ,47.0378,-122.9007,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-23,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_24,cometbus_4_8107_box_4_24.jpg,Pulp Circa 1990 1991,Pulp,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; pulp; culture; community,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-24,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_25,cometbus_4_8107_box_4_25.jpg,Pulp Circa 1990 1991,Puddles of Blood,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; puddles of blood; culture,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-25,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_26,cometbus_4_8107_box_4_26.jpg,Pulp Circa 1990 1991,Pulp,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; pulp; culture; community; consumerism,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-26,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_27,cometbus_4_8107_box_4_27.jpg,Pulp Circa 1990 1991,Pulp,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; pulp; bikini atoll; nuclear radiation,Marshall Islands,7.1314,171.1844,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-27,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_28,cometbus_4_8107_box_4_28.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; culture,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-28,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_29,cometbus_4_8107_box_4_29.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; culture,"Berkeley, CA ",37.8715,-122.273,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-29,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_30,cometbus_4_8107_box_4_30.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; violence; anti racism; community; anti homophobia,"Olympia, WA ",47.0378,-122.9007,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-30,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_31,cometbus_4_8107_box_4_31.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection;  violence; anti racism; community; anti homophobia,"Olympia, WA ",47.0378,-122.9007,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-31,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_32,cometbus_4_8107_box_4_32.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; violence; anti racism; community; anti homophobia,"Olympia, WA ",47.0378,-122.9007,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-32,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_33,cometbus_4_8107_box_4_33.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; gender; anti sexism; feminism; gender,"Olympia, WA ",47.0378,-122.9007,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-33,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
cometbus_4_8107_box_4_pulp_circa_1990_1991_4_4_34,cometbus_4_8107_box_4_34.jpg,Pulp Circa 1990 1991,Aaron Cometbus,Cometbus Punk and Underground Press Collection,circa 1990-1991,"Photograph of archival item from Cometbus Punk and Underground Press Collection, Box 4 (Box 8107, Folder pulp_circa_1990_1991_4_4).",punk archives; zines; underground press; cometbus; Cometbus Punk and Underground Press Collection; culture; attitude,"Olympia, WA ",47.0378,-122.9007,Cometbus Punk and Underground Press Collection,Color,image/jpg,Image;StillImage,8107-4-34,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
